N.º de venda,Data da venda,Status,Descrição do status,Pacote de diversos produtos,Unidades,Receita por produtos (BRL),Receita por envio (BRL),Tarifa de venda e impostos,Tarifas de envio,Cancelamentos e reembolsos (BRL),Total (BRL),Venda por publicidade,SKU,# de anúncio,Título do anúncio,Variação,Preço unitário de venda do anúncio (BRL),Tipo de anúncio,ID_Cliente,Estado,País,Forma de entrega,Data a caminho completa,Data de entrega completa,Reclamação aberta,Reclamação encerrada,Em mediação
2000004522570587,2023-06-08 00:00:00,Entregue,Chegou em 15 de junho,Sim,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,KQ5URS,São Paulo,Brasil,Correios,2023-06-09 11:36:00,2023-06-15 16:35:00,Não,0.0,Não
2000005804815392,2023-06-07 09:35:00,Entregue,Chegou em 13 de junho,Não,1.0,239.9,0.0,-28.79,-21.45,0.0,189.66,Sim,KIT-WCHOC-CREA-250G,MLB3179617242,Kit Whey Protein Concentrado Growth 1kg Creatina Growth 250g,Sabor : Chocolate,239.9,Clássico,SY3BGI,São Paulo,Brasil,Correios,2023-06-07 12:52:00,2023-06-13 15:29:00,Não,0.0,Não
2000004519739699,2023-06-07 07:41:00,Entregue,Chegou em 17 de junho,Sim,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Não,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,IO9ACS,Minas Gerais,Brasil,Correios,2023-06-07 12:52:00,2023-06-17 10:15:00,Não,0.0,Não
2000005799978026,2023-06-06 17:40:00,Entregue,Chegou em 14 de junho,Não,1.0,49.9,16.02,-11.49,-16.02,0.0,38.41,Não,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,EEZET9,São Paulo,Brasil,Correios,2023-06-07 12:52:00,2023-06-14 13:34:00,Não,0.0,Não
2000004515625899,2023-06-06 08:50:00,Entregue,Chegou em 14 de junho,Sim,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,VF3MWO,Minas Gerais,Brasil,Correios,2023-06-06 12:44:00,2023-06-14 11:42:00,Não,0.0,Não
2000005789812236,2023-06-05 14:20:00,Entregue,Chegou em 14 de junho,Não,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Não,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,Z0KQHB,Minas Gerais,Brasil,Correios,2023-06-06 12:44:00,2023-06-14 11:38:00,Não,0.0,Não
2000004509456031,2023-06-04 14:22:00,Entregue,Chegou em 12 de junho,Sim,1.0,49.9,22.0,-11.49,-22.0,0.0,38.41,Sim,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,AWUVSG,Santa Catarina,Brasil,Correios,2023-06-05 11:39:00,2023-06-12 14:59:00,Não,0.0,Não
2000005776284574,2023-06-03 10:29:00,Cancelada pelo comprador,Cancelou porque se arrependeu da compra.,Não,1.0,239.9,0.0,-28.79,-21.45,-189.66,0.0,Sim,KIT-WCHOC-CREA-250G,MLB3179617242,Kit Whey Protein Concentrado Growth 1kg Creatina Growth 250g,Sabor : Chocolate,239.9,Clássico,QR5CI3,Paraná,Brasil,Correios,2023-06-03 10:29:00,2023-06-03 10:29:00,Não,0.0,Não
2000004505924241,2023-06-03 00:30:00,Mediação finalizada. Te demos o dinheiro,Você pode vê-lo na sua conta Mercado Pago.,Sim,1.0,49.9,9.79,-11.49,-9.79,0.0,38.41,Sim,MGS-120CAPS,MLB3157882184,Multivitamínico A Z 120 Caps - Growth Original,Sabor : Sem Sabor,49.9,Clássico,5VKEDR,São Paulo,Brasil,Correios,2023-06-05 11:39:00,2023-06-19 13:19:00,Não,1.0,Não
2000004503567831,2023-06-02 11:10:00,Entregue,Chegou em 20 de junho,Sim,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,GDK7WE,São Paulo,Brasil,Correios,2023-06-02 12:41:00,2023-06-20 11:15:00,Não,0.0,Não
